03/01/2024 11:20:51|ERROR   |root                            |BAZARR cannot use specified timezone: 'tzlocal() does not support non-zoneinfo timezones like %s. \nPlease use a timezone in the form of Continent/City'|
03/01/2024 11:20:59|ERROR   |root                            |BAZARR cannot use specified timezone: 'tzlocal() does not support non-zoneinfo timezones like %s. \nPlease use a timezone in the form of Continent/City'|
03/01/2024 11:21:07|ERROR   |root                            |BAZARR cannot use specified timezone: 'tzlocal() does not support non-zoneinfo timezones like %s. \nPlease use a timezone in the form of Continent/City'|
03/01/2024 11:21:15|ERROR   |root                            |BAZARR cannot use specified timezone: 'tzlocal() does not support non-zoneinfo timezones like %s. \nPlease use a timezone in the form of Continent/City'|
03/01/2024 11:21:23|ERROR   |root                            |BAZARR cannot use specified timezone: 'tzlocal() does not support non-zoneinfo timezones like %s. \nPlease use a timezone in the form of Continent/City'|
03/01/2024 08:25:35|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2024 16:30:50|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2024 17:50:50|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2024 18:30:09|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:09|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:09|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:09|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:09|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:39|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:39|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:30:39|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:31:12|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:31:12|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 18:31:12|INFO    |root                            |BAZARR throttled providers have been reset (only AuthenticationError, ConfigurationError and PaymentRequired).|
03/01/2024 19:50:08|INFO    |root                            |Bazarr is being restarted...|
03/01/2024 19:50:17|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2024 19:50:17|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2024 19:50:17|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
03/01/2024 21:04:23|INFO    |root                            |Bazarr is being restarted...|
03/01/2024 21:04:32|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
03/01/2024 21:04:32|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
03/01/2024 21:04:32|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
03/01/2024 22:06:54|ERROR   |waitress                        |Exception while serving /api/socket.io/|'Traceback (most recent call last):\n  File "/app/bazarr/bin/bazarr/../libs/waitress/channel.py", line 428, in service\n    task.service()\n  File "/app/bazarr/bin/bazarr/../libs/waitress/task.py", line 168, in service\n    self.execute()\n  File "/app/bazarr/bin/bazarr/../libs/waitress/task.py", line 434, in execute\n    app_iter = self.channel.server.application(environ, start_response)\n               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/flask/app.py", line 2548, in __call__\n    return self.wsgi_app(environ, start_response)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/flask_socketio/__init__.py", line 43, in __call__\n    return super(_SocketIOMiddleware, self).__call__(environ,\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/engineio/middleware.py", line 63, in __call__\n    return self.engineio_app.handle_request(environ, start_response)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/socketio/server.py", line 605, in handle_request\n    return self.eio.handle_request(environ, start_response)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/engineio/server.py", line 429, in handle_request\n    socket = self._get_socket(sid)\n             ^^^^^^^^^^^^^^^^^^^^^\n  File "/app/bazarr/bin/bazarr/../libs/engineio/server.py", line 638, in _get_socket\n    raise KeyError(\'Session is disconnected\')\nKeyError: \'Session is disconnected\''|
03/01/2024 22:06:54|ERROR   |engineio.server                 |Invalid session pwO02aw6lGxAg4J9AAAA (further occurrences of this error will be logged with level INFO)|
